,nameOfIssuer,titleOfClass,cusip,value
761,VALERO ENERGY CORP,COM,91913Y100,6439287
762,VALLEY NATL BANCORP,COM,919794107,2094657
763,VANGUARD INTL EQUITY INDEX F,FTSE EMR MKT ETF,922042858,539036528
764,VANGUARD TAX-MANAGED FDS,VAN FTSE DEV MKT,921943858,10481294
765,VEEVA SYS INC,CL A COM,922475108,77685911
766,VENTAS INC,COM,92276F100,1708386
767,VERADIGM INC,COM,01988P108,712074
768,VERISK ANALYTICS INC,COM,92345Y106,12160278
769,VERTEX PHARMACEUTICALS INC,COM,92532F100,29114511
770,VIATRIS INC,COM,92556V106,6334016
771,VIEWRAY INC,COM,92672L107,901591
772,VIPSHOP HOLDINGS LIMITED,SPONSORED ADS A,92763W103,21741628
773,VIRGIN GALACTIC HOLDINGS INC,COM,92766K106,70989
774,VISA INC,COM CL A,92826C839,174265764
775,VMWARE INC,CL A COM,928563402,200099
776,VNET GROUP INC,SPONSORED ADS A,90138A103,1185949
777,VORNADO RLTY TR,SH BEN INT,929042109,2243526
778,VOYA FINANCIAL INC,COM,929089100,2181665
779,WABTEC,COM,929740108,753466
780,WALGREENS BOOTS ALLIANCE INC,COM,931427108,16651090
781,WALMART INC,COM,931142103,482087843
782,WARNER BROS DISCOVERY INC,COM SER A,934423104,1750416
783,WARNER MUSIC GROUP CORP,COM CL A,934550203,7516868
784,WASHINGTON FED INC,COM,938824109,2179039
785,WASTE CONNECTIONS INC,COM,94106B101,13035553
786,WASTE MGMT INC DEL,COM,94106L109,16136049
787,WATERS CORP,COM,941848103,5909505
788,WATTS WATER TECHNOLOGIES INC,CL A,942749102,647799
789,WD 40 CO,COM,929236107,4592712
790,WEC ENERGY GROUP INC,COM,92939U106,12460329
791,WEIBO CORP,SPONSORED ADR,948596101,4365631
792,WEIS MKTS INC,COM,948849104,3291765
793,WELLS FARGO CO NEW,COM,949746101,70981185
794,WELLTOWER INC,COM,95040Q104,1403229
795,WENDYS CO,COM,95058W100,259476
796,WERNER ENTERPRISES INC,COM,950755108,454455
797,WEST PHARMACEUTICAL SVSC INC,COM,955306105,2875742
798,WESTERN ALLIANCE BANCORP,COM,957638109,2797474
799,WESTERN UN CO,COM,959802109,2209534
800,WESTROCK CO,COM,96145D105,5450714
801,WEX INC,COM,96208T104,3140607
802,WEYERHAEUSER CO MTN BE,COM NEW,962166104,1141947
803,WHEATON PRECIOUS METALS CORP,COM,962879102,11538644
804,WILLIS TOWERS WATSON PLC LTD,SHS,G96629103,11918873
805,WISDOMTREE INC,COM,97717P104,23691335
806,WORKDAY INC,CL A,98138H101,1824901
807,XCEL ENERGY INC,COM,98389B100,13274838
808,XPENG INC,ADS,98422D105,20164403
809,XYLEM INC,COM,98419M100,5736814
810,YUM BRANDS INC,COM,988498101,49163636
811,YUM CHINA HLDGS INC,COM,98850P109,64023732
812,ZAI LAB LTD,ADR,98887Q104,14582868
813,ZILLOW GROUP INC,CL C CAP STK,98954M200,36221820
814,ZIMMER BIOMET HOLDINGS INC,COM,98956P102,40353750
815,ZIONS BANCORPORATION N A,COM,989701107,2659605
816,ZOETIS INC,CL A,98978V103,4055039
817,ZOOM VIDEO COMMUNICATIONS IN,CL A,98980L101,483799
818,ZOOMINFO TECHNOLOGIES INC,COMMON STOCK,98980F104,2805680
819,ZTO EXPRESS CAYMAN INC,SPONSORED ADS A,98980A105,36849464
